"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",454,1.2
"State","=""0000000""",01,741,1.8
"State","=""0000000""",02,999,2.5
"State","=""0000000""",03,1341,3.3
"State","=""0000000""",04,1806,4.5
"State","=""0000000""",05,2362,5.7
"State","=""0000000""",06,3711,8.9
"State","=""0000000""",07,5155,12.2
"State","=""0000000""",08,5570,12.9
"State","=""0000000""",09,7742,16.9
"State","=""0000000""",10,6257,14.5
"State","=""0000000""",11,5721,13.8
"State","=""0000000""",12,5543,13.3
"State","=""0000000""","Not Available",7,"*"

