"District","District Code","Grade","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","K","*","*"
"Achievement First Bridgeport Academy District","=""2850013""",01,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",02,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",03,7,7.9
"Achievement First Bridgeport Academy District","=""2850013""",04,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",05,26,26.5
"Achievement First Bridgeport Academy District","=""2850013""",06,21,23.6
"Achievement First Bridgeport Academy District","=""2850013""",07,22,24.7
"Achievement First Bridgeport Academy District","=""2850013""",08,27,29.3
"Achievement First Bridgeport Academy District","=""2850013""",09,16,21.3
"Achievement First Bridgeport Academy District","=""2850013""",10,8,14.8
"Achievement First Bridgeport Academy District","=""2850013""",11,12,22.2
"Achievement First Bridgeport Academy District","=""2850013""",12,"*","*"
"Achievement First Hartford Academy District","=""2880013""","K","*","*"
"Achievement First Hartford Academy District","=""2880013""",01,"N/A","N/A"
"Achievement First Hartford Academy District","=""2880013""",02,6,7.1
"Achievement First Hartford Academy District","=""2880013""",03,7,7.9
"Achievement First Hartford Academy District","=""2880013""",04,12,13.8
"Achievement First Hartford Academy District","=""2880013""",05,15,11.5
"Achievement First Hartford Academy District","=""2880013""",06,26,21.0
"Achievement First Hartford Academy District","=""2880013""",07,29,22.1
"Achievement First Hartford Academy District","=""2880013""",08,25,19.4
"Achievement First Hartford Academy District","=""2880013""",09,"*","*"
"Achievement First Hartford Academy District","=""2880013""",10,"*","*"
"Achievement First Hartford Academy District","=""2880013""",11,"*","*"
"Achievement First Hartford Academy District","=""2880013""",12,"*","*"
"Amistad Academy District","=""2790013""","K","*","*"
"Amistad Academy District","=""2790013""",01,9,10.5
"Amistad Academy District","=""2790013""",02,7,7.7
"Amistad Academy District","=""2790013""",03,22,23.9
"Amistad Academy District","=""2790013""",04,23,25.3
"Amistad Academy District","=""2790013""",05,30,31.3
"Amistad Academy District","=""2790013""",06,15,16.5
"Amistad Academy District","=""2790013""",07,23,24.5
"Amistad Academy District","=""2790013""",08,12,14.8
"Amistad Academy District","=""2790013""",09,19,25.7
"Amistad Academy District","=""2790013""",10,13,19.1
