"District","District Code","Grade","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","K","*","*"
"Achievement First Bridgeport Academy District","=""2850013""",01,"N/A","N/A"
"Achievement First Bridgeport Academy District","=""2850013""",02,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",03,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",04,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",05,11,11.2
"Achievement First Bridgeport Academy District","=""2850013""",06,10,10.1
"Achievement First Bridgeport Academy District","=""2850013""",07,17,17.7
"Achievement First Bridgeport Academy District","=""2850013""",08,11,11.6
"Achievement First Bridgeport Academy District","=""2850013""",09,12,14.0
"Achievement First Bridgeport Academy District","=""2850013""",10,15,20.5
"Achievement First Bridgeport Academy District","=""2850013""",11,10,17.9
"Achievement First Bridgeport Academy District","=""2850013""",12,"*","*"
"Achievement First Hartford Academy District","=""2880013""","K","*","*"
"Achievement First Hartford Academy District","=""2880013""",01,"*","*"
"Achievement First Hartford Academy District","=""2880013""",02,"*","*"
"Achievement First Hartford Academy District","=""2880013""",03,6,6.2
"Achievement First Hartford Academy District","=""2880013""",04,7,7.3
"Achievement First Hartford Academy District","=""2880013""",05,"*","*"
"Achievement First Hartford Academy District","=""2880013""",06,10,10.1
"Achievement First Hartford Academy District","=""2880013""",07,11,9.6
"Achievement First Hartford Academy District","=""2880013""",08,11,9.9
"Achievement First Hartford Academy District","=""2880013""",09,12,12.5
"Achievement First Hartford Academy District","=""2880013""",10,16,18.4
"Achievement First Hartford Academy District","=""2880013""",11,"*","*"
"Achievement First Hartford Academy District","=""2880013""",12,"*","*"
"Amistad Academy District","=""2790013""","K","N/A","N/A"
"Amistad Academy District","=""2790013""",01,"N/A","N/A"
"Amistad Academy District","=""2790013""",02,"*","*"
"Amistad Academy District","=""2790013""",03,"*","*"
"Amistad Academy District","=""2790013""",04,8,8.7
"Amistad Academy District","=""2790013""",05,8,8.2
"Amistad Academy District","=""2790013""",06,13,13.8
"Amistad Academy District","=""2790013""",07,19,20.7
"Amistad Academy District","=""2790013""",08,19,19.4
"Amistad Academy District","=""2790013""",09,8,11.1
"Amistad Academy District","=""2790013""",10,9,13.2
"Amistad Academy District","=""2790013""",11,6,9.0
"Amistad Academy District","=""2790013""",12,"*","*"
"Andover School District","=""0010011""","K","N/A","N/A"
"Andover School District","=""0010011""",01,"N/A","N/A"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",03,"*","*"
"Andover School District","=""0010011""",04,"*","*"
"Andover School District","=""0010011""",05,"N/A","N/A"
"Andover School District","=""0010011""",06,"*","*"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,7,3.8
"Ansonia School District","=""0020011""",02,"*","*"
"Ansonia School District","=""0020011""",03,"*","*"
"Ansonia School District","=""0020011""",04,"*","*"
"Ansonia School District","=""0020011""",05,23,12.4
"Ansonia School District","=""0020011""",06,22,11.8
"Ansonia School District","=""0020011""",07,26,13.3
"Ansonia School District","=""0020011""",08,26,14.1
"Ansonia School District","=""0020011""",09,29,18.8
"Ansonia School District","=""0020011""",10,33,20.5
"Ansonia School District","=""0020011""",11,26,22.8
"Ansonia School District","=""0020011""",12,23,13.5
"Area Cooperative Educational Services","=""2440014""","K","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",01,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""",04,"*","*"
"Area Cooperative Educational Services","=""2440014""",05,16,15.2
"Area Cooperative Educational Services","=""2440014""",06,64,17.9
"Area Cooperative Educational Services","=""2440014""",07,46,13.5
"Area Cooperative Educational Services","=""2440014""",08,36,9.9
"Area Cooperative Educational Services","=""2440014""",09,21,35.6
"Area Cooperative Educational Services","=""2440014""",10,21,32.3
"Area Cooperative Educational Services","=""2440014""",11,12,22.6
"Area Cooperative Educational Services","=""2440014""",12,10,7.2
"Ashford School District","=""0030011""","K","N/A","N/A"
"Ashford School District","=""0030011""",01,"N/A","N/A"
"Ashford School District","=""0030011""",02,"N/A","N/A"
"Ashford School District","=""0030011""",03,"N/A","N/A"
"Ashford School District","=""0030011""",04,"N/A","N/A"
"Ashford School District","=""0030011""",05,"*","*"
"Ashford School District","=""0030011""",06,"*","*"
"Ashford School District","=""0030011""",07,"*","*"
"Ashford School District","=""0030011""",08,"*","*"
"Avon School District","=""0040011""","K","*","*"
"Avon School District","=""0040011""",01,"*","*"
"Avon School District","=""0040011""",02,"N/A","N/A"
"Avon School District","=""0040011""",03,"*","*"
"Avon School District","=""0040011""",04,"N/A","N/A"
"Avon School District","=""0040011""",05,7,2.6
"Avon School District","=""0040011""",06,"*","*"
"Avon School District","=""0040011""",07,"*","*"
"Avon School District","=""0040011""",08,"*","*"
"Avon School District","=""0040011""",09,"*","*"
"Avon School District","=""0040011""",10,"*","*"
"Avon School District","=""0040011""",11,"*","*"
"Avon School District","=""0040011""",12,6,2.4
"Barkhamsted School District","=""0050011""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""",03,"*","*"
"Barkhamsted School District","=""0050011""",04,"N/A","N/A"
"Barkhamsted School District","=""0050011""",05,"N/A","N/A"
"Barkhamsted School District","=""0050011""",06,"N/A","N/A"
"Berlin School District","=""0070011""","K","*","*"
"Berlin School District","=""0070011""",01,"*","*"
"Berlin School District","=""0070011""",02,"N/A","N/A"
"Berlin School District","=""0070011""",03,"*","*"
"Berlin School District","=""0070011""",04,"*","*"
"Berlin School District","=""0070011""",05,6,2.9
"Berlin School District","=""0070011""",06,"*","*"
"Berlin School District","=""0070011""",07,11,4.8
"Berlin School District","=""0070011""",08,8,3.7
"Berlin School District","=""0070011""",09,10,3.9
"Berlin School District","=""0070011""",10,10,4.4
"Berlin School District","=""0070011""",11,11,4.4
"Berlin School District","=""0070011""",12,12,5.8
"Bethany School District","=""0080011""","K","N/A","N/A"
