"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",38,41.3
"Achievement First Hartford Academy Inc. District","=""2880013""",01,32,36.4
"Achievement First Hartford Academy Inc. District","=""2880013""",02,49,54.4
"Achievement First Hartford Academy Inc. District","=""2880013""",03,47,53.4
"Achievement First Hartford Academy Inc. District","=""2880013""",04,35,48.6
"Achievement First Hartford Academy Inc. District","=""2880013""",05,42,40.0
"Achievement First Hartford Academy Inc. District","=""2880013""",06,46,52.3
"Achievement First Hartford Academy Inc. District","=""2880013""",07,46,55.4
"Achievement First Hartford Academy Inc. District","=""2880013""",08,25,41.0
"Achievement First Hartford Academy Inc. District","=""2880013""",09,32,66.7
"Amistad Academy District","=""2790013""","K",11,12.2
"Amistad Academy District","=""2790013""",01,16,17.0
"Amistad Academy District","=""2790013""",02,9,10.0
"Amistad Academy District","=""2790013""",03,9,10.5
"Amistad Academy District","=""2790013""",04,9,12.0
"Amistad Academy District","=""2790013""",05,61,68.5
"Amistad Academy District","=""2790013""",06,55,61.1
"Amistad Academy District","=""2790013""",07,51,64.6
"Amistad Academy District","=""2790013""",08,49,62.8
"Amistad Academy District","=""2790013""",09,21,43.8
"Amistad Academy District","=""2790013""",10,16,51.6
"Amistad Academy District","=""2790013""",11,12,46.2
"Amistad Academy District","=""2790013""",12,10,43.5
"Andover School District","=""0010011""","K","N/A","N/A"
"Andover School District","=""0010011""",01,"*","*"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",03,"N/A","N/A"
"Andover School District","=""0010011""",04,"N/A","N/A"
"Andover School District","=""0010011""",05,"*","*"
"Andover School District","=""0010011""",06,"*","*"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,"N/A","N/A"
"Ansonia School District","=""0020011""",03,"*","*"
"Ansonia School District","=""0020011""",04,"*","*"
"Ansonia School District","=""0020011""",05,6,3.3
"Ansonia School District","=""0020011""",06,6,2.8
"Ansonia School District","=""0020011""",07,45,23.8
"Ansonia School District","=""0020011""",08,43,22.6
"Ansonia School District","=""0020011""",09,40,22.5
"Ansonia School District","=""0020011""",10,37,23.3
"Ansonia School District","=""0020011""",11,18,14.2
"Ansonia School District","=""0020011""",12,18,9.8
"Area Cooperative Educational Services","=""2440014""","K","*","*"
"Area Cooperative Educational Services","=""2440014""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""",04,10,8.4
