"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",394,1.0
"State","=""0000000""",01,648,1.6
"State","=""0000000""",02,865,2.1
"State","=""0000000""",03,1131,2.8
"State","=""0000000""",04,1493,3.6
"State","=""0000000""",05,2121,5.1
"State","=""0000000""",06,3591,8.5
"State","=""0000000""",07,5300,12.3
"State","=""0000000""",08,5911,13.8
"State","=""0000000""",09,8023,17.2
"State","=""0000000""",10,6455,14.9
"State","=""0000000""",11,6254,14.9
"State","=""0000000""",12,5590,13.3
"State","=""0000000""","Not Available",9,"*"

