"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",220,0.6
"State","=""0000000""",01,413,1.1
"State","=""0000000""",02,649,1.7
"State","=""0000000""",03,1144,2.9
"State","=""0000000""",04,1593,4.0
"State","=""0000000""",05,1929,4.9
"State","=""0000000""",06,3195,7.9
"State","=""0000000""",07,4354,10.7
"State","=""0000000""",08,4484,10.8
"State","=""0000000""",09,5735,13.2
"State","=""0000000""",10,4679,11.2
"State","=""0000000""",11,4195,10.3
"State","=""0000000""",12,3987,9.5

