"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",12,13.6
"Achievement First Hartford Academy Inc. District","=""2880013""",01,13,14.3
"Achievement First Hartford Academy Inc. District","=""2880013""",02,28,30.1
"Achievement First Hartford Academy Inc. District","=""2880013""",03,8,10.3
"Achievement First Hartford Academy Inc. District","=""2880013""",05,43,47.8
"Achievement First Hartford Academy Inc. District","=""2880013""",06,42,48.8
"Achievement First Hartford Academy Inc. District","=""2880013""",07,46,59.7
"Amistad Academy District","=""2790013""","K",9,10.0
"Amistad Academy District","=""2790013""",01,10,12.5
"Amistad Academy District","=""2790013""",02,17,21.8
"Amistad Academy District","=""2790013""",03,15,19.5
"Amistad Academy District","=""2790013""",05,18,22.2
"Amistad Academy District","=""2790013""",06,15,17.9
"Amistad Academy District","=""2790013""",07,11,16.4
"Amistad Academy District","=""2790013""",04,13,17.3
"Amistad Academy District","=""2790013""",08,25,43.9
"Amistad Academy District","=""2790013""",09,14,40.0
"Amistad Academy District","=""2790013""",10,8,26.7
"Amistad Academy District","=""2790013""",11,"*","*"
"Amistad Academy District","=""2790013""",12,"*","*"
"Andover School District","=""0010011""","K","*","*"
"Andover School District","=""0010011""",01,"N/A","N/A"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",03,"N/A","N/A"
"Andover School District","=""0010011""",05,"*","*"
"Andover School District","=""0010011""",06,"*","*"
"Andover School District","=""0010011""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,7,3.5
"Ansonia School District","=""0020011""",03,6,3.2
"Ansonia School District","=""0020011""",05,13,6.2
"Ansonia School District","=""0020011""",06,10,5.0
"Ansonia School District","=""0020011""",07,20,10.9
"Ansonia School District","=""0020011""",04,"*","*"
"Ansonia School District","=""0020011""",08,33,17.5
"Ansonia School District","=""0020011""",09,71,33.6
"Ansonia School District","=""0020011""",10,46,23.0
"Ansonia School District","=""0020011""",11,23,13.9
"Ansonia School District","=""0020011""",12,22,14.3
"Area Cooperative Educational Services","=""2440014""","K","*","*"
"Area Cooperative Educational Services","=""2440014""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""",05,14,11.3
"Area Cooperative Educational Services","=""2440014""",06,51,13.4
"Area Cooperative Educational Services","=""2440014""",07,89,24.9
"Area Cooperative Educational Services","=""2440014""",04,16,13.4
"Area Cooperative Educational Services","=""2440014""",08,82,23.8
"Area Cooperative Educational Services","=""2440014""",09,17,30.4
"Area Cooperative Educational Services","=""2440014""",10,21,38.2
"Area Cooperative Educational Services","=""2440014""",11,12,24.0
"Area Cooperative Educational Services","=""2440014""",12,16,11.0
"Area Cooperative Educational Services","=""2440014""","Not Available","*","*"
"Ashford School District","=""0030011""","K","N/A","N/A"
"Ashford School District","=""0030011""",01,"N/A","N/A"
"Ashford School District","=""0030011""",02,"N/A","N/A"
"Ashford School District","=""0030011""",03,"N/A","N/A"
"Ashford School District","=""0030011""",05,"*","*"
"Ashford School District","=""0030011""",06,"*","*"
"Ashford School District","=""0030011""",07,"*","*"
"Ashford School District","=""0030011""",04,"N/A","N/A"
"Ashford School District","=""0030011""",08,"*","*"
"Avon School District","=""0040011""","K","N/A","N/A"
"Avon School District","=""0040011""",01,"N/A","N/A"
"Avon School District","=""0040011""",02,"*","*"
"Avon School District","=""0040011""",03,"N/A","N/A"
"Avon School District","=""0040011""",05,6,2.0
"Avon School District","=""0040011""",06,7,2.5
"Avon School District","=""0040011""",07,11,3.8
"Avon School District","=""0040011""",04,"*","*"
"Avon School District","=""0040011""",08,12,4.0
"Avon School District","=""0040011""",09,"*","*"
"Avon School District","=""0040011""",10,"*","*"
"Avon School District","=""0040011""",11,"*","*"
"Avon School District","=""0040011""",12,6,2.3
"Barkhamsted School District","=""0050011""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""",03,"N/A","N/A"
"Barkhamsted School District","=""0050011""",05,"*","*"
"Barkhamsted School District","=""0050011""",06,"N/A","N/A"
"Barkhamsted School District","=""0050011""",04,"N/A","N/A"
"Berlin School District","=""0070011""","K","N/A","N/A"
"Berlin School District","=""0070011""",01,"*","*"
"Berlin School District","=""0070011""",02,"*","*"
"Berlin School District","=""0070011""",03,"*","*"
"Berlin School District","=""0070011""",05,"*","*"
"Berlin School District","=""0070011""",06,14,5.9
"Berlin School District","=""0070011""",07,26,10.2
"Berlin School District","=""0070011""",04,"*","*"
"Berlin School District","=""0070011""",08,22,9.3
"Berlin School District","=""0070011""",09,20,8.4
"Berlin School District","=""0070011""",10,34,13.1
"Berlin School District","=""0070011""",11,24,9.2
"Berlin School District","=""0070011""",12,58,22.6
"Bethany School District","=""0080011""","K","N/A","N/A"
"Bethany School District","=""0080011""",01,"N/A","N/A"
"Bethany School District","=""0080011""",02,"N/A","N/A"
"Bethany School District","=""0080011""",03,"N/A","N/A"
"Bethany School District","=""0080011""",05,"*","*"
"Bethany School District","=""0080011""",06,"*","*"
"Bethany School District","=""0080011""",04,"*","*"
"Bethel School District","=""0090011""","K","*","*"
"Bethel School District","=""0090011""",01,"N/A","N/A"
"Bethel School District","=""0090011""",02,"*","*"
"Bethel School District","=""0090011""",03,"*","*"
"Bethel School District","=""0090011""",05,"*","*"
"Bethel School District","=""0090011""",06,13,5.8
"Bethel School District","=""0090011""",07,14,5.7
"Bethel School District","=""0090011""",04,"N/A","N/A"
"Bethel School District","=""0090011""",08,39,17.4
"Bethel School District","=""0090011""",09,26,10.4
"Bethel School District","=""0090011""",10,31,13.5
"Bethel School District","=""0090011""",11,23,9.6
"Bethel School District","=""0090011""",12,28,11.1
"Bloomfield School District","=""0110011""","K","*","*"
"Bloomfield School District","=""0110011""",01,"*","*"
"Bloomfield School District","=""0110011""",02,8,6.1
"Bloomfield School District","=""0110011""",03,14,10.4
"Bloomfield School District","=""0110011""",05,11,7.5
"Bloomfield School District","=""0110011""",06,28,17.6
"Bloomfield School District","=""0110011""",07,32,24.4
"Bloomfield School District","=""0110011""",04,11,7.6
"Bloomfield School District","=""0110011""",08,23,16.0
