"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",10,11.4
"Achievement First Hartford Academy Inc. District","=""2880013""",01,10,11.9
"Achievement First Hartford Academy Inc. District","=""2880013""",02,18,21.4
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,19,23.2
"Achievement First Hartford Academy Inc. District","=""2880013""",05,67,42.1
"Achievement First Hartford Academy Inc. District","=""2880013""",06,38,45.8
"Achievement First Hartford Academy Inc. District","=""2880013""",07,39,47.6
"Achievement First Hartford Academy Inc. District","=""2880013""",08,35,57.4
"Achievement First Hartford Academy Inc. District","=""2880013""",09,10,20.8
"Achievement First Hartford Academy Inc. District","=""2880013""",10,12,30.8
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"*","*"
"Amistad Academy District","=""2790013""","K",15,16.3
"Amistad Academy District","=""2790013""",01,13,14.0
"Amistad Academy District","=""2790013""",02,12,13.3
"Amistad Academy District","=""2790013""",03,12,13.3
"Amistad Academy District","=""2790013""",04,15,19.5
"Amistad Academy District","=""2790013""",05,62,62.6
"Amistad Academy District","=""2790013""",06,46,45.5
"Amistad Academy District","=""2790013""",07,27,33.3
"Amistad Academy District","=""2790013""",08,36,45.6
"Amistad Academy District","=""2790013""",09,26,44.1
"Amistad Academy District","=""2790013""",10,31,56.4
"Amistad Academy District","=""2790013""",11,8,24.2
"Amistad Academy District","=""2790013""",12,8,30.8
"Andover School District","=""0010011""","K","N/A","N/A"
"Andover School District","=""0010011""",01,"*","*"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",03,"N/A","N/A"
"Andover School District","=""0010011""",04,"N/A","N/A"
"Andover School District","=""0010011""",05,"*","*"
"Andover School District","=""0010011""",06,"N/A","N/A"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,"N/A","N/A"
"Ansonia School District","=""0020011""",03,"N/A","N/A"
"Ansonia School District","=""0020011""",04,7,3.7
"Ansonia School District","=""0020011""",05,7,3.9
"Ansonia School District","=""0020011""",06,17,9.3
"Ansonia School District","=""0020011""",07,33,17.0
"Ansonia School District","=""0020011""",08,50,22.5
"Ansonia School District","=""0020011""",09,22,12.6
"Ansonia School District","=""0020011""",10,18,9.9
"Ansonia School District","=""0020011""",11,7,5.9
"Ansonia School District","=""0020011""",12,10,6.2
"Area Cooperative Educational Services","=""2440014""","K","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""",02,6,6.2
"Area Cooperative Educational Services","=""2440014""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""",04,7,5.7
"Area Cooperative Educational Services","=""2440014""",05,6,5.2
"Area Cooperative Educational Services","=""2440014""",06,43,11.8
"Area Cooperative Educational Services","=""2440014""",07,70,19.3
"Area Cooperative Educational Services","=""2440014""",08,53,15.5
"Area Cooperative Educational Services","=""2440014""",09,12,20.3
"Area Cooperative Educational Services","=""2440014""",10,17,26.2
"Area Cooperative Educational Services","=""2440014""",11,17,32.1
"Area Cooperative Educational Services","=""2440014""",12,22,16.9
"Ashford School District","=""0030011""","K","*","*"
"Ashford School District","=""0030011""",01,"N/A","N/A"
"Ashford School District","=""0030011""",02,"*","*"
"Ashford School District","=""0030011""",03,"*","*"
"Ashford School District","=""0030011""",04,"*","*"
"Ashford School District","=""0030011""",05,"N/A","N/A"
"Ashford School District","=""0030011""",06,"*","*"
"Ashford School District","=""0030011""",07,"*","*"
"Ashford School District","=""0030011""",08,8,16.3
"Avon School District","=""0040011""","K","*","*"
"Avon School District","=""0040011""",01,"*","*"
"Avon School District","=""0040011""",02,"*","*"
"Avon School District","=""0040011""",03,"N/A","N/A"
"Avon School District","=""0040011""",04,"*","*"
"Avon School District","=""0040011""",05,"*","*"
