"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",609,1.6
"State","=""0000000""",01,801,2.0
"State","=""0000000""",02,971,2.5
"State","=""0000000""",03,1299,3.3
"State","=""0000000""",04,1571,3.9
"State","=""0000000""",05,2229,5.4
"State","=""0000000""",06,3186,7.9
"State","=""0000000""",07,4407,10.6
"State","=""0000000""",08,4810,11.4
"State","=""0000000""",09,6761,14.8
"State","=""0000000""",10,5057,12.0
"State","=""0000000""",11,4736,11.7
"State","=""0000000""",12,4438,10.6
"State","=""0000000""","Not Available",13,"*"

