"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",6,6.8
"Achievement First Hartford Academy Inc. District","=""2880013""",01,27,30.3
"Achievement First Hartford Academy Inc. District","=""2880013""",02,31,36.5
"Achievement First Hartford Academy Inc. District","=""2880013""",03,38,44.2
"Achievement First Hartford Academy Inc. District","=""2880013""",04,27,36.5
"Achievement First Hartford Academy Inc. District","=""2880013""",05,42,43.3
"Achievement First Hartford Academy Inc. District","=""2880013""",06,47,51.6
"Achievement First Hartford Academy Inc. District","=""2880013""",07,32,43.8
"Achievement First Hartford Academy Inc. District","=""2880013""",08,38,53.5
"Amistad Academy District","=""2790013""","K",20,21.5
"Amistad Academy District","=""2790013""",01,"*","*"
"Amistad Academy District","=""2790013""",02,9,10.8
"Amistad Academy District","=""2790013""",03,8,10.5
"Amistad Academy District","=""2790013""",04,"*","*"
"Amistad Academy District","=""2790013""",05,27,31.0
"Amistad Academy District","=""2790013""",06,42,48.8
"Amistad Academy District","=""2790013""",07,40,47.6
"Amistad Academy District","=""2790013""",08,16,25.4
"Amistad Academy District","=""2790013""",09,14,35.9
"Amistad Academy District","=""2790013""",10,"*","*"
"Amistad Academy District","=""2790013""",11,6,24.0
"Amistad Academy District","=""2790013""",12,6,"*"
"Andover School District","=""0010011""","K","N/A","N/A"
"Andover School District","=""0010011""",01,"N/A","N/A"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",03,"*","*"
"Andover School District","=""0010011""",04,"*","*"
"Andover School District","=""0010011""",05,"N/A","N/A"
"Andover School District","=""0010011""",06,"N/A","N/A"
"Ansonia School District","=""0020011""","K","N/A","N/A"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,"*","*"
"Ansonia School District","=""0020011""",03,11,5.6
"Ansonia School District","=""0020011""",04,"*","*"
"Ansonia School District","=""0020011""",05,"*","*"
"Ansonia School District","=""0020011""",06,9,4.6
"Ansonia School District","=""0020011""",07,22,11.3
"Ansonia School District","=""0020011""",08,14,7.7
"Ansonia School District","=""0020011""",09,66,33.2
"Ansonia School District","=""0020011""",10,43,27.0
"Ansonia School District","=""0020011""",11,30,18.0
"Ansonia School District","=""0020011""",12,29,15.9
"Area Cooperative Educational Services","=""2440014""","K","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",01,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",02,12,12.1
"Area Cooperative Educational Services","=""2440014""",03,7,6.1
"Area Cooperative Educational Services","=""2440014""",04,12,9.8
"Area Cooperative Educational Services","=""2440014""",05,18,14.6
"Area Cooperative Educational Services","=""2440014""",06,50,13.7
"Area Cooperative Educational Services","=""2440014""",07,74,20.2
"Area Cooperative Educational Services","=""2440014""",08,64,18.7
"Area Cooperative Educational Services","=""2440014""",09,19,46.3
"Area Cooperative Educational Services","=""2440014""",10,13,24.5
"Area Cooperative Educational Services","=""2440014""",11,12,21.1
"Area Cooperative Educational Services","=""2440014""",12,21,16.3
"Ashford School District","=""0030011""","K","N/A","N/A"
"Ashford School District","=""0030011""",01,"N/A","N/A"
"Ashford School District","=""0030011""",02,"*","*"
"Ashford School District","=""0030011""",03,"N/A","N/A"
"Ashford School District","=""0030011""",04,"*","*"
"Ashford School District","=""0030011""",05,"*","*"
"Ashford School District","=""0030011""",06,"*","*"
"Ashford School District","=""0030011""",07,"*","*"
"Ashford School District","=""0030011""",08,"*","*"
"Avon School District","=""0040011""","K","N/A","N/A"
"Avon School District","=""0040011""",01,"*","*"
"Avon School District","=""0040011""",02,"*","*"
"Avon School District","=""0040011""",03,"N/A","N/A"
"Avon School District","=""0040011""",04,"*","*"
"Avon School District","=""0040011""",05,"*","*"
"Avon School District","=""0040011""",06,9,2.9
"Avon School District","=""0040011""",07,17,5.8
"Avon School District","=""0040011""",08,13,4.5
"Avon School District","=""0040011""",09,"*","*"
"Avon School District","=""0040011""",10,"*","*"
"Avon School District","=""0040011""",11,"*","*"
"Avon School District","=""0040011""",12,7,2.4
"Barkhamsted School District","=""0050011""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""",03,"N/A","N/A"
"Barkhamsted School District","=""0050011""",04,"N/A","N/A"
"Barkhamsted School District","=""0050011""",05,"N/A","N/A"
"Barkhamsted School District","=""0050011""",06,"*","*"
"Berlin School District","=""0070011""","K","N/A","N/A"
"Berlin School District","=""0070011""",01,"N/A","N/A"
"Berlin School District","=""0070011""",02,"N/A","N/A"
"Berlin School District","=""0070011""",03,"*","*"
"Berlin School District","=""0070011""",04,"*","*"
"Berlin School District","=""0070011""",05,"N/A","N/A"
"Berlin School District","=""0070011""",06,14,5.9
"Berlin School District","=""0070011""",07,24,10.3
"Berlin School District","=""0070011""",08,21,8.1
"Berlin School District","=""0070011""",09,13,6.1
"Berlin School District","=""0070011""",10,18,7.5
"Berlin School District","=""0070011""",11,29,11.1
"Berlin School District","=""0070011""",12,41,15.5
"Bethany School District","=""0080011""","K","N/A","N/A"
"Bethany School District","=""0080011""",01,"N/A","N/A"
"Bethany School District","=""0080011""",02,"N/A","N/A"
"Bethany School District","=""0080011""",03,"N/A","N/A"
"Bethany School District","=""0080011""",04,"*","*"
"Bethany School District","=""0080011""",05,"*","*"
"Bethany School District","=""0080011""",06,"N/A","N/A"
"Bethel School District","=""0090011""","K","*","*"
"Bethel School District","=""0090011""",01,"N/A","N/A"
"Bethel School District","=""0090011""",02,"N/A","N/A"
"Bethel School District","=""0090011""",03,"N/A","N/A"
"Bethel School District","=""0090011""",04,"N/A","N/A"
"Bethel School District","=""0090011""",05,"N/A","N/A"
"Bethel School District","=""0090011""",06,32,14.4
"Bethel School District","=""0090011""",07,"*","*"
"Bethel School District","=""0090011""",08,19,7.6
"Bethel School District","=""0090011""",09,40,17.4
"Bethel School District","=""0090011""",10,20,8.2
"Bethel School District","=""0090011""",11,30,12.1
"Bethel School District","=""0090011""",12,37,15.4
"Bloomfield School District","=""0110011""","K","*","*"
"Bloomfield School District","=""0110011""",01,"*","*"
"Bloomfield School District","=""0110011""",02,11,9.2
"Bloomfield School District","=""0110011""",03,10,8.3
"Bloomfield School District","=""0110011""",04,20,15.0
"Bloomfield School District","=""0110011""",05,19,14.2
"Bloomfield School District","=""0110011""",06,19,14.8
"Bloomfield School District","=""0110011""",07,48,30.4
"Bloomfield School District","=""0110011""",08,31,23.3
"Bloomfield School District","=""0110011""",09,47,25.3
"Bloomfield School District","=""0110011""",10,22,12.4
"Bloomfield School District","=""0110011""",11,23,13.3
"Bloomfield School District","=""0110011""",12,25,14.1
"Bolton School District","=""0120011""","K","N/A","N/A"
"Bolton School District","=""0120011""",01,"*","*"
"Bolton School District","=""0120011""",02,"*","*"
"Bolton School District","=""0120011""",03,"N/A","N/A"
"Bolton School District","=""0120011""",04,"N/A","N/A"
"Bolton School District","=""0120011""",05,"N/A","N/A"
"Bolton School District","=""0120011""",06,"*","*"
"Bolton School District","=""0120011""",07,"*","*"
"Bolton School District","=""0120011""",08,"*","*"
"Bolton School District","=""0120011""",09,"*","*"
"Bolton School District","=""0120011""",10,6,5.8
"Bolton School District","=""0120011""",11,7,8.2
"Bolton School District","=""0120011""",12,"*","*"
"Bozrah School District","=""0130011""","K","N/A","*"
"Bozrah School District","=""0130011""",01,"*","*"
"Bozrah School District","=""0130011""",02,"N/A","N/A"
"Bozrah School District","=""0130011""",03,"N/A","*"
"Bozrah School District","=""0130011""",04,"*","*"
