"District","District Code","Grade","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","K","*","*"
"Achievement First Bridgeport Academy District","=""2850013""",01,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",02,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",03,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""",04,7,7.8
"Achievement First Bridgeport Academy District","=""2850013""",05,10,9.9
"Achievement First Bridgeport Academy District","=""2850013""",06,20,20.4
"Achievement First Bridgeport Academy District","=""2850013""",07,25,25.8
"Achievement First Bridgeport Academy District","=""2850013""",08,26,29.2
"Achievement First Bridgeport Academy District","=""2850013""",09,21,26.6
"Achievement First Bridgeport Academy District","=""2850013""",10,23,33.3
"Achievement First Bridgeport Academy District","=""2850013""",11,9,18.4
"Achievement First Bridgeport Academy District","=""2850013""",12,"*","*"
"Achievement First Hartford Academy District","=""2880013""","K","*","*"
"Achievement First Hartford Academy District","=""2880013""",01,"*","*"
"Achievement First Hartford Academy District","=""2880013""",02,9,10.1
"Achievement First Hartford Academy District","=""2880013""",03,"*","*"
"Achievement First Hartford Academy District","=""2880013""",04,7,7.4
"Achievement First Hartford Academy District","=""2880013""",05,9,8.7
"Achievement First Hartford Academy District","=""2880013""",06,10,8.6
"Achievement First Hartford Academy District","=""2880013""",07,9,8.1
"Achievement First Hartford Academy District","=""2880013""",08,8,6.9
"Achievement First Hartford Academy District","=""2880013""",09,20,20.8
"Achievement First Hartford Academy District","=""2880013""",10,"*","*"
"Achievement First Hartford Academy District","=""2880013""",11,"*","*"
"Achievement First Hartford Academy District","=""2880013""",12,"*","*"
"Amistad Academy District","=""2790013""","K","*","*"
"Amistad Academy District","=""2790013""",01,8,8.4
"Amistad Academy District","=""2790013""",02,"*","*"
"Amistad Academy District","=""2790013""",03,19,20.7
"Amistad Academy District","=""2790013""",04,18,19.8
"Amistad Academy District","=""2790013""",05,18,18.6
"Amistad Academy District","=""2790013""",06,18,20.0
"Amistad Academy District","=""2790013""",07,13,14.1
"Amistad Academy District","=""2790013""",08,22,23.9
"Amistad Academy District","=""2790013""",09,16,22.2
"Amistad Academy District","=""2790013""",10,14,19.2
