District,District Code,Grade,Count,%
Achievement First Hartford Academy Inc. District,2880013,K,*,*
Achievement First Hartford Academy Inc. District,2880013,1,*,*
Achievement First Hartford Academy Inc. District,2880013,2,*,*
Achievement First Hartford Academy Inc. District,2880013,3,10,11.1
Achievement First Hartford Academy Inc. District,2880013,4,9,9.8
Achievement First Hartford Academy Inc. District,2880013,5,72,46.8
Achievement First Hartford Academy Inc. District,2880013,6,55,37.2
Achievement First Hartford Academy Inc. District,2880013,7,37,59.7
Achievement First Hartford Academy Inc. District,2880013,8,33,48.5
Achievement First Hartford Academy Inc. District,2880013,9,8,18.6
Achievement First Hartford Academy Inc. District,2880013,10,*,*
Achievement First Hartford Academy Inc. District,2880013,11,*,*
Achievement First Hartford Academy Inc. District,2880013,12,*,*
Amistad Academy District,2790013,K,*,*
Amistad Academy District,2790013,1,11,12.2
Amistad Academy District,2790013,2,*,*
Amistad Academy District,2790013,3,19,20.9
Amistad Academy District,2790013,4,22,23.9
Amistad Academy District,2790013,5,28,29.8
Amistad Academy District,2790013,6,37,39.4
Amistad Academy District,2790013,7,40,43
Amistad Academy District,2790013,8,30,36.1
Amistad Academy District,2790013,9,34,52.3
Amistad Academy District,2790013,10,26,44.8
Amistad Academy District,2790013,11,20,43.5
Amistad Academy District,2790013,12,9,30
Andover School District,0010011,K,N/A,N/A
Andover School District,0010011,1,N/A,N/A
Andover School District,0010011,2,*,*
Andover School District,0010011,3,N/A,N/A
Andover School District,0010011,4,N/A,N/A
Andover School District,0010011,5,*,*
Andover School District,0010011,6,*,*
Ansonia School District,0020011,K,*,*
Ansonia School District,0020011,1,7,3.6
Ansonia School District,0020011,2,*,*
Ansonia School District,0020011,3,*,*
Ansonia School District,0020011,4,*,*
Ansonia School District,0020011,5,16,8.4
Ansonia School District,0020011,6,18,10
Ansonia School District,0020011,7,44,25.1
Ansonia School District,0020011,8,44,22.6
Ansonia School District,0020011,9,24,12.1
Ansonia School District,0020011,10,22,13.2
Ansonia School District,0020011,11,13,8.7
Ansonia School District,0020011,12,*,*
Area Cooperative Educational Services,2440014,K,N/A,N/A
Area Cooperative Educational Services,2440014,1,*,*
Area Cooperative Educational Services,2440014,2,N/A,N/A
Area Cooperative Educational Services,2440014,3,10,9.6
Area Cooperative Educational Services,2440014,4,*,*
Area Cooperative Educational Services,2440014,5,11,8.7
Area Cooperative Educational Services,2440014,6,46,12.3
Area Cooperative Educational Services,2440014,7,53,14.9
Area Cooperative Educational Services,2440014,8,55,15.5
Area Cooperative Educational Services,2440014,9,22,39.3
Area Cooperative Educational Services,2440014,10,14,25.9
Area Cooperative Educational Services,2440014,11,15,23.1
Area Cooperative Educational Services,2440014,12,20,16
Ashford School District,0030011,K,N/A,N/A
Ashford School District,0030011,1,N/A,N/A
Ashford School District,0030011,2,*,*
Ashford School District,0030011,3,*,*
Ashford School District,0030011,4,*,*
Ashford School District,0030011,5,*,*
Ashford School District,0030011,6,*,*
Ashford School District,0030011,7,*,*
Ashford School District,0030011,8,*,*
Avon School District,0040011,K,*,*
Avon School District,0040011,1,*,*
Avon School District,0040011,2,*,*
Avon School District,0040011,3,*,*
Avon School District,0040011,4,*,*
Avon School District,0040011,5,*,*
Avon School District,0040011,6,*,*
Avon School District,0040011,7,*,*
Avon School District,0040011,8,19,6.8
Avon School District,0040011,9,9,3.5
Avon School District,0040011,10,7,2.5
Avon School District,0040011,11,*,*
Avon School District,0040011,12,*,*
Barkhamsted School District,0050011,K,N/A,*
Barkhamsted School District,0050011,1,N/A,N/A
Barkhamsted School District,0050011,2,N/A,N/A
Barkhamsted School District,0050011,3,N/A,N/A
Barkhamsted School District,0050011,4,N/A,N/A
Barkhamsted School District,0050011,5,N/A,N/A
Barkhamsted School District,0050011,6,N/A,N/A
Berlin School District,0070011,K,N/A,N/A
Berlin School District,0070011,1,N/A,N/A
Berlin School District,0070011,2,N/A,N/A
Berlin School District,0070011,3,*,*
Berlin School District,0070011,4,N/A,N/A
Berlin School District,0070011,5,*,*
Berlin School District,0070011,6,*,*
Berlin School District,0070011,7,24,9.6
Berlin School District,0070011,8,19,8.7
Berlin School District,0070011,9,*,*
Berlin School District,0070011,10,11,5
Berlin School District,0070011,11,14,5.8
Berlin School District,0070011,12,14,5.4
Bethany School District,0080011,K,*,*
Bethany School District,0080011,1,*,*
Bethany School District,0080011,2,N/A,N/A
Bethany School District,0080011,3,*,*
Bethany School District,0080011,4,N/A,N/A
Bethany School District,0080011,5,N/A,N/A
Bethany School District,0080011,6,*,*
Bethel School District,0090011,K,*,*
Bethel School District,0090011,1,N/A,N/A
Bethel School District,0090011,2,*,*
Bethel School District,0090011,3,*,*
Bethel School District,0090011,4,11,5.1
Bethel School District,0090011,5,19,8.8
Bethel School District,0090011,6,14,7.4
Bethel School District,0090011,7,20,7.9
Bethel School District,0090011,8,18,8.1
Bethel School District,0090011,9,46,18.7
Bethel School District,0090011,10,14,7.3
Bethel School District,0090011,11,36,17.3
Bethel School District,0090011,12,22,8.6
Bloomfield School District,0110011,K,*,*
Bloomfield School District,0110011,1,*,*
Bloomfield School District,0110011,2,10,8.7
Bloomfield School District,0110011,3,6,4.1
Bloomfield School District,0110011,4,10,8.7
Bloomfield School District,0110011,5,6,4.7
Bloomfield School District,0110011,6,25,19.5
Bloomfield School District,0110011,7,34,25
Bloomfield School District,0110011,8,31,23.3
Bloomfield School District,0110011,9,49,28.5
Bloomfield School District,0110011,10,36,23.5
Bloomfield School District,0110011,11,34,18.8
Bloomfield School District,0110011,12,25,16.6
Bolton School District,0120011,K,N/A,N/A
Bolton School District,0120011,1,N/A,N/A
Bolton School District,0120011,2,*,*
Bolton School District,0120011,3,*,*
Bolton School District,0120011,4,*,*
Bolton School District,0120011,5,*,*
Bolton School District,0120011,6,*,*
Bolton School District,0120011,7,*,*
Bolton School District,0120011,8,*,*
Bolton School District,0120011,9,*,*
Bolton School District,0120011,10,7,8.8
Bolton School District,0120011,11,*,*
Bolton School District,0120011,12,6,6.7
Booker T. Washington Academy District,2950013,K,*,*
Booker T. Washington Academy District,2950013,1,*,*
Booker T. Washington Academy District,2950013,2,14,33.3
Bozrah School District,0130011,K,N/A,*
Bozrah School District,0130011,1,N/A,N/A
Bozrah School District,0130011,2,*,*
Bozrah School District,0130011,3,N/A,N/A
Bozrah School District,0130011,4,N/A,N/A
Bozrah School District,0130011,5,N/A,N/A
Bozrah School District,0130011,6,N/A,N/A
Bozrah School District,0130011,7,N/A,*
Bozrah School District,0130011,8,N/A,N/A
Bozrah School District,0130011,12,N/A,*
Branford School District,0140011,K,*,*
Branford School District,0140011,1,N/A,N/A
Branford School District,0140011,2,*,*
Branford School District,0140011,3,N/A,N/A
Branford School District,0140011,4,N/A,N/A
Branford School District,0140011,5,6,2.6
Branford School District,0140011,6,23,10.2
Branford School District,0140011,7,19,8.8
Branford School District,0140011,8,11,4.6
Branford School District,0140011,9,24,10.7
Branford School District,0140011,10,16,7.2
Branford School District,0140011,11,37,14.5
Branford School District,0140011,12,42,15.4
Brass City Charter School District,2900013,K,N/A,N/A
Brass City Charter School District,2900013,1,*,*
Brass City Charter School District,2900013,2,*,*
Brass City Charter School District,2900013,3,*,*
Bridgeport Achievement First District,2850013,K,*,*
Bridgeport Achievement First District,2850013,1,*,*
Bridgeport Achievement First District,2850013,2,*,*
Bridgeport Achievement First District,2850013,3,*,*
Bridgeport Achievement First District,2850013,4,10,10.9
Bridgeport Achievement First District,2850013,5,35,37.2
Bridgeport Achievement First District,2850013,6,48,51.1
Bridgeport Achievement First District,2850013,7,35,37.6
Bridgeport Achievement First District,2850013,8,16,17.8
Bridgeport Achievement First District,2850013,9,36,56.3
Bridgeport Achievement First District,2850013,10,20,45.5
Bridgeport Achievement First District,2850013,11,12,33.3
Bridgeport Achievement First District,2850013,12,10,37
Bridgeport School District,0150011,K,35,2
Bridgeport School District,0150011,1,54,2.8
Bridgeport School District,0150011,2,99,5.5
Bridgeport School District,0150011,3,177,9.6
Bridgeport School District,0150011,4,222,12.4
Bridgeport School District,0150011,5,189,11.7
Bridgeport School District,0150011,6,235,16.5
Bridgeport School District,0150011,7,341,24
Bridgeport School District,0150011,8,345,23.2
Bridgeport School District,0150011,9,639,38.1
Bridgeport School District,0150011,10,423,29.3
Bridgeport School District,0150011,11,359,29.2
Bridgeport School District,0150011,12,209,18.4
Bristol School District,0170011,K,17,2.8
Bristol School District,0170011,1,*,*
Bristol School District,0170011,2,24,4.2
Bristol School District,0170011,3,33,5.4
Bristol School District,0170011,4,36,6.1
Bristol School District,0170011,5,44,6.7
Bristol School District,0170011,6,75,12.9
Bristol School District,0170011,7,85,13.9
Bristol School District,0170011,8,71,12.3
Bristol School District,0170011,9,98,14.5
Bristol School District,0170011,10,55,9.6
Bristol School District,0170011,11,55,9.2
Bristol School District,0170011,12,77,12.2
Bristol School District,0170011,Not Available,*,*
Brookfield School District,0180011,K,*,*
Brookfield School District,0180011,1,N/A,N/A
Brookfield School District,0180011,2,N/A,N/A
Brookfield School District,0180011,3,N/A,N/A
Brookfield School District,0180011,4,N/A,N/A
Brookfield School District,0180011,5,13,6.7
Brookfield School District,0180011,6,8,3.5
Brookfield School District,0180011,7,11,4.6
Brookfield School District,0180011,8,*,*
Brookfield School District,0180011,9,8,3.7
Brookfield School District,0180011,10,*,*
Brookfield School District,0180011,11,10,4.4
Brookfield School District,0180011,12,23,10.4
Brooklyn School District,0190011,K,*,*
Brooklyn School District,0190011,1,*,*
Brooklyn School District,0190011,2,*,*
Brooklyn School District,0190011,3,*,*
Brooklyn School District,0190011,4,*,*
Brooklyn School District,0190011,5,*,*
Brooklyn School District,0190011,6,10,12.2
Brooklyn School District,0190011,7,8,10
Brooklyn School District,0190011,8,23,20.7
Brooklyn School District,0190011,10,N/A,*
Brooklyn School District,0190011,11,N/A,*
Brooklyn School District,0190011,12,N/A,*
Canaan School District,0210011,K,N/A,*
Canaan School District,0210011,1,N/A,*
Canaan School District,0210011,2,N/A,*
Canaan School District,0210011,3,N/A,*
Canaan School District,0210011,4,N/A,*
Canaan School District,0210011,5,*,*
Canaan School District,0210011,6,N/A,*
Canaan School District,0210011,7,N/A,*
Canaan School District,0210011,8,N/A,*
