"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",203,0.6
"State","=""0000000""",01,351,0.9
"State","=""0000000""",02,501,1.4
"State","=""0000000""",03,1022,2.7
"State","=""0000000""",04,1305,3.3
"State","=""0000000""",05,1948,4.8
"State","=""0000000""",06,3327,8.3
"State","=""0000000""",07,4371,10.8
"State","=""0000000""",08,4589,11.2
"State","=""0000000""",09,6023,13.8
"State","=""0000000""",10,4856,11.8
"State","=""0000000""",11,4330,10.7
"State","=""0000000""",12,3916,9.4

