"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K","*","*"
"State","=""0000000""",01,711,1.7
"State","=""0000000""",02,972,2.4
"State","=""0000000""",03,1227,3.0
"State","=""0000000""",04,1715,4.1
"State","=""0000000""",05,2220,5.3
"State","=""0000000""",06,3984,9.3
"State","=""0000000""",07,5754,13.5
"State","=""0000000""",08,6180,14.2
"State","=""0000000""",09,8360,17.8
"State","=""0000000""",10,7006,16.0
"State","=""0000000""",11,6468,15.2
"State","=""0000000""",12,5678,13.7
"State","=""0000000""","Not Available","*","*"

