"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K","*","*"
"State","=""0000000""",01,543,1.4
"State","=""0000000""",02,789,2.0
"State","=""0000000""",03,1237,3.1
"State","=""0000000""",04,1503,3.8
"State","=""0000000""",05,1874,4.7
"State","=""0000000""",06,3187,7.9
"State","=""0000000""",07,4341,10.5
"State","=""0000000""",08,4373,10.7
"State","=""0000000""",09,6204,13.9
"State","=""0000000""",10,4809,11.5
"State","=""0000000""",11,4617,11.3
"State","=""0000000""",12,4299,10.3
"State","=""0000000""","Not Available","*","*"

