"District","Organization Code","Grade","Count","%"
"State","=""0000000""","K",475,1.2
"State","=""0000000""",01,814,2.1
"State","=""0000000""",02,996,2.5
"State","=""0000000""",03,1184,3.0
"State","=""0000000""",04,1517,3.7
"State","=""0000000""",05,2114,5.2
"State","=""0000000""",06,3203,7.8
"State","=""0000000""",07,4598,11.0
"State","=""0000000""",08,5038,11.9
"State","=""0000000""",09,7359,16.1
"State","=""0000000""",10,5576,13.2
"State","=""0000000""",11,5385,13.0
"State","=""0000000""",12,4962,11.9
"State","=""0000000""","Not Available",8,"*"

