"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",16,18.8
"Achievement First Hartford Academy Inc. District","=""2880013""",01,33,36.7
"Achievement First Hartford Academy Inc. District","=""2880013""",02,35,39.8
"Achievement First Hartford Academy Inc. District","=""2880013""",05,26,29.5
"Achievement First Hartford Academy Inc. District","=""2880013""",06,25,30.1
"Amistad Academy District","=""2790013""","K","*","*"
"Amistad Academy District","=""2790013""",01,16,19.5
"Amistad Academy District","=""2790013""",02,14,17.1
"Amistad Academy District","=""2790013""",05,13,16.7
"Amistad Academy District","=""2790013""",06,12,16.4
"Amistad Academy District","=""2790013""",03,"*","*"
"Amistad Academy District","=""2790013""",07,14,23.0
"Amistad Academy District","=""2790013""",08,11,19.6
"Amistad Academy District","=""2790013""",09,11,30.6
"Amistad Academy District","=""2790013""",10,12,37.5
"Amistad Academy District","=""2790013""",11,7,25.9
"Amistad Academy District","=""2790013""",12,7,31.8
"Andover School District","=""0010011""","K","N/A","N/A"
"Andover School District","=""0010011""",01,"N/A","N/A"
"Andover School District","=""0010011""",02,"N/A","N/A"
"Andover School District","=""0010011""",05,"N/A","N/A"
"Andover School District","=""0010011""",06,"N/A","N/A"
"Andover School District","=""0010011""",03,"N/A","N/A"
"Andover School District","=""0010011""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,"*","*"
"Ansonia School District","=""0020011""",05,10,4.6
"Ansonia School District","=""0020011""",06,9,5.0
"Ansonia School District","=""0020011""",03,"*","*"
"Ansonia School District","=""0020011""",07,22,11.8
"Ansonia School District","=""0020011""",08,28,13.7
"Ansonia School District","=""0020011""",09,86,34.5
"Ansonia School District","=""0020011""",10,51,25.8
"Ansonia School District","=""0020011""",11,31,19.6
"Ansonia School District","=""0020011""",12,30,17.3
"Ansonia School District","=""0020011""",04,"*","*"
"Area Cooperative Educational Services","=""2440014""","K","*","*"
"Area Cooperative Educational Services","=""2440014""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""",05,15,11.3
"Area Cooperative Educational Services","=""2440014""",06,66,18.2
"Area Cooperative Educational Services","=""2440014""",03,10,9.2
"Area Cooperative Educational Services","=""2440014""",07,91,25.2
"Area Cooperative Educational Services","=""2440014""",08,112,29.1
"Area Cooperative Educational Services","=""2440014""",09,25,37.9
"Area Cooperative Educational Services","=""2440014""",10,33,46.5
