"District","District Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","K",9,10.2
"Achievement First Hartford Academy Inc. District","=""2880013""",01,18,21.2
"Achievement First Hartford Academy Inc. District","=""2880013""",02,17,19.3
"Achievement First Hartford Academy Inc. District","=""2880013""",03,20,24.1
"Achievement First Hartford Academy Inc. District","=""2880013""",04,21,26.3
"Achievement First Hartford Academy Inc. District","=""2880013""",05,41,40.2
"Achievement First Hartford Academy Inc. District","=""2880013""",06,44,49.4
"Achievement First Hartford Academy Inc. District","=""2880013""",07,40,50.0
"Achievement First Hartford Academy Inc. District","=""2880013""",08,27,38.0
"Achievement First Hartford Academy Inc. District","=""2880013""",09,11,22.9
"Achievement First Hartford Academy Inc. District","=""2880013""",10,8,19.5
"Amistad Academy District","=""2790013""","K",9,10.1
"Amistad Academy District","=""2790013""",01,9,11.4
"Amistad Academy District","=""2790013""",02,17,18.5
"Amistad Academy District","=""2790013""",03,19,22.6
"Amistad Academy District","=""2790013""",04,20,24.1
"Amistad Academy District","=""2790013""",05,53,53.5
"Amistad Academy District","=""2790013""",06,53,57.0
"Amistad Academy District","=""2790013""",07,42,55.3
"Amistad Academy District","=""2790013""",08,44,57.9
"Amistad Academy District","=""2790013""",09,32,51.6
"Amistad Academy District","=""2790013""",10,17,41.5
"Amistad Academy District","=""2790013""",11,10,37.0
"Amistad Academy District","=""2790013""",12,10,40.0
"Andover School District","=""0010011""","K","*","*"
"Andover School District","=""0010011""",01,"N/A","N/A"
"Andover School District","=""0010011""",02,"*","*"
"Andover School District","=""0010011""",03,"N/A","N/A"
"Andover School District","=""0010011""",04,"N/A","N/A"
"Andover School District","=""0010011""",05,"N/A","N/A"
"Andover School District","=""0010011""",06,"*","*"
"Ansonia School District","=""0020011""","K","*","*"
"Ansonia School District","=""0020011""",01,"*","*"
"Ansonia School District","=""0020011""",02,"*","*"
"Ansonia School District","=""0020011""",03,"N/A","N/A"
"Ansonia School District","=""0020011""",04,"*","*"
"Ansonia School District","=""0020011""",05,7,3.9
"Ansonia School District","=""0020011""",06,"*","*"
"Ansonia School District","=""0020011""",07,52,24.8
"Ansonia School District","=""0020011""",08,62,31.6
"Ansonia School District","=""0020011""",09,21,11.1
"Ansonia School District","=""0020011""",10,16,11.0
"Ansonia School District","=""0020011""",11,13,9.7
"Ansonia School District","=""0020011""",12,12,9.4
"Area Cooperative Educational Services","=""2440014""","K","*","*"
"Area Cooperative Educational Services","=""2440014""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""",04,9,8.1
"Area Cooperative Educational Services","=""2440014""",05,15,12.2
"Area Cooperative Educational Services","=""2440014""",06,40,10.8
"Area Cooperative Educational Services","=""2440014""",07,51,14.7
"Area Cooperative Educational Services","=""2440014""",08,75,21.5
"Area Cooperative Educational Services","=""2440014""",09,21,33.3
"Area Cooperative Educational Services","=""2440014""",10,14,27.5
"Area Cooperative Educational Services","=""2440014""",11,16,37.2
"Area Cooperative Educational Services","=""2440014""",12,20,14.8
"Ashford School District","=""0030011""","K","N/A","N/A"
"Ashford School District","=""0030011""",01,"N/A","N/A"
"Ashford School District","=""0030011""",02,"N/A","N/A"
"Ashford School District","=""0030011""",03,"*","*"
"Ashford School District","=""0030011""",04,"*","*"
"Ashford School District","=""0030011""",05,"*","*"
"Ashford School District","=""0030011""",06,"*","*"
"Ashford School District","=""0030011""",07,"*","*"
"Ashford School District","=""0030011""",08,"*","*"
"Avon School District","=""0040011""","K","*","*"
"Avon School District","=""0040011""",01,"*","*"
"Avon School District","=""0040011""",02,"*","*"
"Avon School District","=""0040011""",03,"N/A","N/A"
"Avon School District","=""0040011""",04,"N/A","N/A"
"Avon School District","=""0040011""",05,"N/A","N/A"
"Avon School District","=""0040011""",06,"*","*"
"Avon School District","=""0040011""",07,6,2.2
"Avon School District","=""0040011""",08,20,6.4
"Avon School District","=""0040011""",09,6,2.2
"Avon School District","=""0040011""",10,10,4.0
"Avon School District","=""0040011""",11,11,4.3
"Avon School District","=""0040011""",12,10,3.6
"Barkhamsted School District","=""0050011""","K","N/A","N/A"
"Barkhamsted School District","=""0050011""",01,"N/A","N/A"
"Barkhamsted School District","=""0050011""",02,"N/A","N/A"
"Barkhamsted School District","=""0050011""",03,"*","*"
"Barkhamsted School District","=""0050011""",04,"N/A","N/A"
"Barkhamsted School District","=""0050011""",05,"*","*"
"Barkhamsted School District","=""0050011""",06,"N/A","N/A"
"Berlin School District","=""0070011""","K","*","*"
"Berlin School District","=""0070011""",01,"N/A","N/A"
"Berlin School District","=""0070011""",02,"*","*"
"Berlin School District","=""0070011""",03,"*","*"
"Berlin School District","=""0070011""",04,"*","*"
"Berlin School District","=""0070011""",05,"*","*"
"Berlin School District","=""0070011""",06,14,6.5
"Berlin School District","=""0070011""",07,9,3.7
"Berlin School District","=""0070011""",08,15,6.2
"Berlin School District","=""0070011""",09,9,3.8
"Berlin School District","=""0070011""",10,21,8.5
"Berlin School District","=""0070011""",11,14,6.7
"Berlin School District","=""0070011""",12,14,5.8
"Bethany School District","=""0080011""","K","N/A","N/A"
"Bethany School District","=""0080011""",01,"N/A","N/A"
"Bethany School District","=""0080011""",02,"*","*"
"Bethany School District","=""0080011""",03,"N/A","N/A"
"Bethany School District","=""0080011""",04,"N/A","N/A"
"Bethany School District","=""0080011""",05,"N/A","N/A"
"Bethany School District","=""0080011""",06,"*","*"
"Bethel School District","=""0090011""","K","*","*"
"Bethel School District","=""0090011""",01,"N/A","N/A"
"Bethel School District","=""0090011""",02,"*","*"
"Bethel School District","=""0090011""",03,"*","*"
"Bethel School District","=""0090011""",04,"N/A","N/A"
"Bethel School District","=""0090011""",05,"N/A","N/A"
"Bethel School District","=""0090011""",06,9,4.3
"Bethel School District","=""0090011""",07,28,11.5
"Bethel School District","=""0090011""",08,22,9.9
"Bethel School District","=""0090011""",09,34,15.7
"Bethel School District","=""0090011""",10,29,11.5
"Bethel School District","=""0090011""",11,47,20.6
"Bethel School District","=""0090011""",12,27,11.0
"Bloomfield School District","=""0110011""","K","*","*"
"Bloomfield School District","=""0110011""",01,10,7.2
"Bloomfield School District","=""0110011""",02,"*","*"
"Bloomfield School District","=""0110011""",03,"*","*"
"Bloomfield School District","=""0110011""",04,6,5.6
"Bloomfield School District","=""0110011""",05,23,19.2
"Bloomfield School District","=""0110011""",06,28,20.7
"Bloomfield School District","=""0110011""",07,30,21.3
"Bloomfield School District","=""0110011""",08,50,34.7
"Bloomfield School District","=""0110011""",09,52,26.5
"Bloomfield School District","=""0110011""",10,28,18.4
"Bloomfield School District","=""0110011""",11,33,19.0
"Bloomfield School District","=""0110011""",12,21,12.8
"Bolton School District","=""0120011""","K","N/A","N/A"
"Bolton School District","=""0120011""",01,"N/A","N/A"
"Bolton School District","=""0120011""",02,"N/A","N/A"
"Bolton School District","=""0120011""",03,"*","*"
"Bolton School District","=""0120011""",04,"N/A","N/A"
"Bolton School District","=""0120011""",05,"*","*"
"Bolton School District","=""0120011""",06,"*","*"
"Bolton School District","=""0120011""",07,"*","*"
"Bolton School District","=""0120011""",08,"*","*"
"Bolton School District","=""0120011""",09,"*","*"
"Bolton School District","=""0120011""",10,"*","*"
"Bolton School District","=""0120011""",11,7,8.6
"Bolton School District","=""0120011""",12,9,8.8
"Bozrah School District","=""0130011""","K","N/A","N/A"
"Bozrah School District","=""0130011""",01,"N/A","N/A"
"Bozrah School District","=""0130011""",02,"*","*"
"Bozrah School District","=""0130011""",03,"*","*"
"Bozrah School District","=""0130011""",04,"*","*"
"Bozrah School District","=""0130011""",05,"*","*"
"Bozrah School District","=""0130011""",06,"*","*"
"Bozrah School District","=""0130011""",07,"N/A","N/A"
"Bozrah School District","=""0130011""",08,"N/A","N/A"
"Bozrah School District","=""0130011""",11,"N/A","*"
"Bozrah School District","=""0130011""",12,"N/A","*"
"Branford School District","=""0140011""","K","*","*"
"Branford School District","=""0140011""",01,"N/A","N/A"
"Branford School District","=""0140011""",02,"*","*"
"Branford School District","=""0140011""",03,"N/A","N/A"
"Branford School District","=""0140011""",04,"N/A","N/A"
"Branford School District","=""0140011""",05,6,2.8
"Branford School District","=""0140011""",06,10,4.0
"Branford School District","=""0140011""",07,11,4.7
"Branford School District","=""0140011""",08,15,6.0
"Branford School District","=""0140011""",09,24,9.1
"Branford School District","=""0140011""",10,31,12.2
"Branford School District","=""0140011""",11,36,14.8
"Branford School District","=""0140011""",12,63,20.4
"Brass City Charter School District","=""2900013""","K","N/A","N/A"
"Brass City Charter School District","=""2900013""",01,"N/A","N/A"
"Bridgeport Achievement First District","=""2850013""","K",8,9.1
"Bridgeport Achievement First District","=""2850013""",01,11,12.1
"Bridgeport Achievement First District","=""2850013""",02,9,9.3
"Bridgeport Achievement First District","=""2850013""",03,8,8.9
"Bridgeport Achievement First District","=""2850013""",05,40,41.2
"Bridgeport Achievement First District","=""2850013""",06,36,40.0
